Round,Condition,Block_Number,Incentive_Type,Incentive_Recipient,Player_A_Choice,Player_B_Choice,Player_C_Choice,Player_A_White_Tokens,Player_A_Black_Tokens,Player_A_Round_Earnings,Player_A_Total_Payout,Player_B_White_Tokens,Player_B_Black_Tokens,Player_B_Round_Earnings,Player_B_Total_Payout,Player_C_White_Tokens,Player_C_Black_Tokens,Player_C_Round_Earnings,Player_C_Total_Payout,Culturant_Produced,White_Tokens_Remaining,Timestamp
1,High Culturant,1,Impulse Incentive,AI Player 1,ODD,ODD,EVEN,3,0,0.06,0.06,3,0,0.06,0.06,1,0,0.02,0.02,No,1243,2026-02-11T03:17:02.642Z
2,Equal Culturant-Operant,1,Self Control Incentive,AI Player 3,ODD,ODD,EVEN,6,0,0.03,0.09,6,0,0.03,0.09,2,0,0.01,0.03,No,1236,2026-02-11T03:17:14.851Z
3,High Culturant,1,None,None,ODD,ODD,EVEN,9,0,0.06,0.15,9,0,0.06,0.15,3,0,0.02,0.05,No,1229,2026-02-11T03:17:27.821Z
4,Equal Culturant-Operant,1,Impulse Incentive,AI Player 3,ODD,EVEN,ODD,12,0,0.03,0.18,10,0,0.01,0.16,6,0,0.03,0.08,No,1222,2026-02-11T03:17:41.578Z
5,Equal Culturant-Operant,1,Impulse Incentive,AI Player 2,ODD,EVEN,ODD,15,0,0.03,0.21,11,0,0.01,0.17,9,0,0.03,0.11,No,1215,2026-02-11T03:17:56.529Z
6,High Operant,1,Self Control Incentive,AI Player 1,EVEN,EVEN,EVEN,16,1,0.07,0.28,12,1,0.07,0.24,10,1,0.07,0.18,Yes,1212,2026-02-11T03:18:09.898Z
7,High Culturant,1,Self Control Incentive,AI Player 1,ODD,ODD,ODD,19,1,0.06,0.34,15,1,0.06,0.30,13,1,0.06,0.24,No,1203,2026-02-11T03:18:25.605Z
8,Equal Culturant-Operant,1,None,None,ODD,EVEN,EVEN,22,1,0.03,0.37,16,1,0.01,0.31,14,1,0.01,0.25,No,1198,2026-02-11T03:18:39.364Z
9,Equal Culturant-Operant,1,Self Control Incentive,AI Player 1,EVEN,ODD,EVEN,23,1,0.01,0.38,19,1,0.03,0.34,15,1,0.01,0.26,No,1193,2026-02-11T03:18:51.871Z
10,High Operant,1,Impulse Incentive,AI Player 1,EVEN,EVEN,EVEN,24,2,0.07,0.45,20,2,0.07,0.41,16,2,0.07,0.33,Yes,1190,2026-02-11T03:19:05.399Z
11,High Culturant,1,Self Control Incentive,AI Player 2,ODD,EVEN,ODD,27,2,0.06,0.51,21,2,0.02,0.43,19,2,0.06,0.39,No,1183,2026-02-11T03:19:19.442Z
12,High Operant,1,Self Control Incentive,AI Player 2,ODD,ODD,EVEN,30,2,0.09,0.60,24,2,0.09,0.52,20,2,0.03,0.42,No,1176,2026-02-11T03:19:32.762Z
13,High Culturant,1,Impulse Incentive,AI Player 3,EVEN,ODD,EVEN,31,2,0.02,0.62,27,2,0.06,0.58,21,2,0.02,0.44,No,1171,2026-02-11T03:19:46.740Z
